dataset;X;Y;OBJECTID;ID;NOMBRE;MODALIDAD;TIPO;DIRECCION;MUNICIPIO;TELEFONO;UTM_X;UTM_Y;PLAZAS;SIGNATURA;OBSERVACIO;Estado;Est_LLav
alojamientos;-1.989.022.013;33.320.826.577;315;344;Casa Martín;Extrahotelera;Vivienda turística;El Morrito, 1;El Paso; ;219707;3173369;3;VT-199; ;Tramitado;0
alojamientos;-19.905.095.238;33.299.333.081;316;345;Casa La Palma;Extrahotelera;Vivienda turística;Cmno. Las Lajas, 9;El Paso;922463749;218355;3171522;3;VT-201; ;Tramitado;0
alojamientos;-19.885.297.375;3.330.105.875;317;346;Casa Caldera;Extrahotelera;Vivienda turística;El Arenero, 4B, Los Barros;El Paso; ;220098;3171631;6;VT-203; ;Tramitado;0
alojamientos;-19.916.123.044;33.320.541.832;318;347;Casa Tabares;Extrahotelera;Vivienda turística;Turrula Tinglado, 48;El Paso; ;217431;3173399;4;VT-211; ;Tramitado;0
alojamientos;-19.924.911.746;3332809.75;319;348;Casa Mariana;Extrahotelera;Vivienda turística;Los Pedregales;El Paso; ;216675;3174078;4;VT-216; ;Tramitado;0
alojamientos;-19.907.042.982;33.290.384.931;320;349;Finca Carballos;Extrahotelera;Vivienda turística;Cmno. El Espigón, 27;El Paso; ;218165;3170744;3;VT-222; ;Tramitado;0
alojamientos;-19.905.975.017;33.260.577.609;321;350;Casa Persephone;Extrahotelera;Vivienda turística;Cmno. Corazoncillo;El Paso; ;218196;3168136;4;VT-227; ;Tramitado;0
alojamientos;-19.905.526.252;33.271.283.302;322;351;Finca El Ciprés;Extrahotelera;Vivienda turística;Alcalá, 46;El Paso;922461479;218258;3169071;5;VT-232; ;Tramitado;0
alojamientos;-19.909.073.599;33.291.056.404;323;352;Casa El Lagar;Extrahotelera;Vivienda turística;Espigón, 22;El Paso;922486028;217988;3170807;3;VT-234; ;Tramitado;0
alojamientos;-1.991.758.403;33.318.812.722;324;353;Casa La Cabezada;Extrahotelera;Vivienda turística;San Telmo, 44;El Paso; ;217299;3173251;8;VT-236; ;Tramitado;0
alojamientos;-19.908.594.214;33.290.999.397;325;354;Casa La Bodega;Extrahotelera;Vivienda turística;Espigón, 24;El Paso; ;218030;3170801;2;VT-240; ;Tramitado;0
alojamientos;-1.994.035.802;3.331.956.059;326;355;Casa Almendras;Extrahotelera;Vivienda turística;La Agüelilla;El Paso; ;215300;3173365;4;VT-242; ;Tramitado;0
alojamientos;-19.915.814.768;33.295.926.469;327;356;Casa Vista Valle;Extrahotelera;Vivienda turística;Vista Valle, 21;El Paso; ;217406;3171247;6;VT-246; ;Tramitado;0
alojamientos;-19.913.260.011;33.292.396.222;328;357;Casa Dálmatas;Extrahotelera;Vivienda turística;Tajuya, 12;El Paso; ;217623;3170933;3;VT-250; ;Tramitado;0
alojamientos;-19.893.006.152;33.316.891.583;329;358;Casa Josefina;Extrahotelera;Vivienda turística;Esq. Pedro Martín, 1;El Paso; ;219454;3173031;3;VT-253; ;Tramitado;0
alojamientos;-19.914.429.203;33.301.726.463;330;359;Casa Antigua;Extrahotelera;Vivienda turística;Taburiente, 69;El Paso; ;217540;3171751;2;VT-261; ;Tramitado;0
alojamientos;-19.917.968.261;3.330.736.111;331;360;Casa Almendro;Extrahotelera;Vivienda turística;Piedra Hincada, 7;El Paso; ;217241;3172251;4;VT-262; ;Tramitado;0
alojamientos;-19.901.211.271;33.299.221.259;332;361;Casa Arándano;Extrahotelera;Vivienda turística;Tacande, 27;El Paso; ;218696;3171504;4;VT-263; ;Tramitado;0
alojamientos;-19.914.065.619;33.321.141.162;333;362;Casa Cipresas;Extrahotelera;Vivienda turística;Turrula Tinglado, 4;El Paso; ;217613;3173447;5;VT-264; ;Tramitado;0
alojamientos;-19.944.640.263;33.339.309.978;334;363;Casa V. Caldera II;Extrahotelera;Vivienda turística;Lomo de Los Caballos;El Paso; ;214966;3175100;12;VT-265; ;Tramitado;0
alojamientos;-19.944.317.796;33.339.626.899;335;364;Casa V. Caldera I;Extrahotelera;Vivienda turística;Cmno. La Caldera;El Paso; ;214995;3175127;8;VT-266; ;Tramitado;0
alojamientos;-19.919.061.803;33.301.728.132;336;365;Casa Alexandra B.;Extrahotelera;Vivienda turística;Tamarahoya, 20;El Paso; ;217133;3171761;2;VT-267; ;Tramitado;0
alojamientos;-19.949.506.023;3.333.854.945;337;366;Casa Barranco;Extrahotelera;Vivienda turística;Cmno. Cantadores, 8C;El Paso; ;214537;3175044;3;VT-271; ;Tramitado;0
alojamientos;-19.897.014.427;3.328.793.933;338;367;Casa Katarina;Extrahotelera;Vivienda turística;Cmno. El Espigón, 44;El Paso; ;219041;3170509;5;VT-279; ;Tramitado;0
alojamientos;-19.927.858.386;33.330.371.458;339;368;Casa Los Lomos B;Extrahotelera;Vivienda turística;Los Pedregales, 6A;El Paso; ;216421;3174283;4;VT-280; ;Tramitado;0
alojamientos;-19.905.088.777;33.298.589.565;340;369;Casa El Sitio;Extrahotelera;Vivienda turística;Las Lajas, 5;El Paso; ;218354;3171457;2;VT-282; ;Tramitado;0
alojamientos;-19.901.104.087;33.311.844.044;341;370;Casa Manolo;Extrahotelera;Vivienda turística;Coromoto, 9;El Paso; ;218732;3172607;2;VT-289; ;Tramitado;0
alojamientos;-19.944.275.874;33.339.307.487;342;371;Casa Caldera;Extrahotelera;Vivienda turística;Cmno. La Caldera;El Paso; ;214998;3175099;3;VT-304; ;Tramitado;0
alojamientos;-19.882.400.649;33.323.269.477;343;372;Casa Nere;Extrahotelera;Vivienda turística;Virgen del Pino, 20;El Paso; ;220399;3173566;4;VT-309; ;Tramitado;0
alojamientos;-1.992.808.705;33.330.411.645;344;373;Casa Los Lomos A;Extrahotelera;Vivienda turística;Los Pedregales, 6;El Paso; ;216401;3174287;4;VT-310; ;Tramitado;0
alojamientos;-19.897.384.605;3.329.865.029;345;374;Casa La Graja;Extrahotelera;Vivienda turística;Cuesta La Juliana, 7;El Paso; ;219031;3171446;3;VT-328; ;Tramitado;0
alojamientos;-1.991.579.346;33.315.366.321;346;375;Casa El Morrito;Extrahotelera;Vivienda turística;Ctra. Taburiente;El Paso; ;217449;3172946;4;VT-334; ;Tramitado;0
alojamientos;-19.917.715.167;33.319.530.423;347;376;Villa Nieves;Extrahotelera;Villa;Paso de Abajo, 83;El Paso; ;217289;3173314;6;E-38/5/0136; ;Tramitado;0
alojamientos;-20.016.484.263;33.458.426.499;348;377;Mar y Monte;Hotelera;Pensión;Pino de La Virgen, 7;Puntagorda;922493067;208916;3185660;8;H-38/5/0041;P/*;Tramitado;1
alojamientos;-20.025.157.188;33.450.270.285;349;378;Casa El Jócamo;Extrahotelera;Casa Rural;Fagundo, 23A;Puntagorda; ;208137;3184967;4;CR-2;UE;Tramitado;0
alojamientos;-20.011.626.973;33.457.850.066;350;379;Casa Machín;Extrahotelera;Casa Rural;Avda. La Constitución;Puntagorda;922493180;209341;3185599;2;CR-3;UE;Tramitado;0
alojamientos;-20.001.539.787;33.451.780.842;351;380;Villa Martina;Extrahotelera;Casa Rural;Cmno. de Fátima, 6;Puntagorda;922430625;210213;3185047;5;CR-4;UE;Tramitado;0
alojamientos;-20.016.793.622;33.473.573.401;352;381;Casa El Tendal;Extrahotelera;Casa Rural;Cmno. de Matos, 14;Puntagorda;922430625;208922;3186983;2;CR-6;UE;Tramitado;0
alojamientos;-2.001.038.121;33.476.014.518;353;382;Casa El Fayal;Extrahotelera;Casa Rural;Verada Alta, 61;Puntagorda;922493074;209490;3187182;4;CR-28;UE;Tramitado;0
alojamientos;-20.008.196.911;33.465.175.519;354;383;Casa El Peral;Extrahotelera;Casa Rural;Cmno. El Peral;Puntagorda;922461253;209658;3186231;4;CR-32;UE;Tramitado;0
alojamientos;-20.012.277.633;33.477.570.603;355;384;Casa La Verada;Extrahotelera;Casa Rural;La Verada Baja, 7B;Puntagorda; ;209327;3187322;4;CR-36;UE;Tramitado;0
alojamientos;-20.014.180.889;33.467.510.691;356;385;Casa Herenio;Extrahotelera;Casa Rural;La Oliva, 3;Puntagorda;922493311;209138;3186448;5;CR-58;UE;Tramitado;0
alojamientos;-20.014.058.466;33.467.628.323;357;386;Casa La Oliva;Extrahotelera;Casa Rural;La Oliva;Puntagorda;922493311;209149;3186458;3;CR-59;UE;Tramitado;0
alojamientos;-20.005.633.028;33.441.794.029;358;387;Casa Acerina;Extrahotelera;Casa Rural;El Roque;Puntagorda; ;209832;3184184;3;CR-81;UE;Tramitado;0
alojamientos;-20.008.328.735;33.465.435.666;359;388;Casa La Era;Extrahotelera;Casa Rural;Cmno. El Peral, 24B;Puntagorda;922461253;209647;3186254;3;CR-158;UE;Tramitado;0
alojamientos;-20.010.861.257;33.447.228.858;360;389;Casa Los Marantes;Extrahotelera;Casa Rural;El Roque;Puntagorda;922450147;209385;3184670;10;CR-177;UCU;Tramitado;0
alojamientos;-20.010.750.799;33.446.910.945;361;390;Casa Los Marantes I;Extrahotelera;Casa Rural;El Roque;Puntagorda;922450147;209394;3184642;3;CR-178;UE;Tramitado;0
alojamientos;-20.003.071.977;33.466.220.608;362;391;Casa Federico;Extrahotelera;Casa Rural;Cmno. La Rosa, 5;Puntagorda; ;210110;3186311;4;CR-179;UE;Tramitado;0
alojamientos;-2.001.449.615;33.474.215.514;363;393;Casa Corea;Extrahotelera;Vivienda turística;Cmno. De La Verada Baja;Puntagorda;922493219;209125;3187034;3;VT-225; ;Tramitado;0
alojamientos;-20.019.819.519;33.471.068.577;364;394;Casa El Hondito;Extrahotelera;Vivienda turística;Cmno. El Hondito, 14;Puntagorda;922461253;208651;3186771;2;VT-270; ;Tramitado;0
alojamientos;-20.016.484.748;33.474.440.346;365;395;Casa Ursula;Extrahotelera;Vivienda turística;Cmno. El Molino;Puntagorda;922463204;208951;3187058;4;VT-275; ;Tramitado;0
alojamientos;-20.013.963.418;3.347.433.203;366;396;Casa Corea 2;Extrahotelera;Casa Medio rural;Cmno. Verada Baja;Puntagorda;659556741;209172;3187043;3;EMR-38/5/0002;EMR;Tramitado;0
alojamientos;-20.014.025.762;33.474.089.894;367;397;Casa Corea 1;Extrahotelera;Casa Medio rural;Cmno. Verada Baja;Puntagorda;659556741;209166;3187022;3;EMR-38/5/0001;EMR;Tramitado;0
alojamientos;-19.759.261.892;33.432.777.067;368;405;Casa Emiliana;Extrahotelera;Casa Rural;El Barranquito, 3;Puntallana;922430625;231436;3182877;3;CR-19;UE;Tramitado;0
alojamientos;-19.784.221.836;33.450.280.698;369;406;Casona La Galga;Extrahotelera;Casa Rural;Lomo Piñero, 29;Puntallana;922430201;229281;3184456;12;CR-38;UE;Tramitado;0
alojamientos;-1.978.205.481;33.455.119.542;370;407;Casa Cha Miquela;Extrahotelera;Casa Rural;Llano Molino, 88;Puntallana; ;229481;3184874;6;CR-53;UCU;Tramitado;0
alojamientos;-19.756.453.651;33.444.456.322;371;408;Casa Tomasín;Extrahotelera;Casa Rural;El Tomasín, 3A;Puntallana; ;231706;3183891;4;CR-65;UE;Tramitado;0
alojamientos;-19.752.169.102;33.419.610.644;372;409;Casa Sara;Extrahotelera;Casa Rural;Los Molinos, 5;Puntallana;922430185;232032;3181713;3;CR-82;UE;Tramitado;0
alojamientos;-19.766.056.559;33.440.854.195;373;410;Casa La Camelia;Extrahotelera;Casa Rural;El Topo, 7;Puntallana; ;230856;3183596;4;CR-90;UE;Tramitado;0
alojamientos;-19.766.370.121;33.441.110.335;374;411;Casa La Charola;Extrahotelera;Casa Rural;El Topo, 8;Puntallana; ;230829;3183619;4;CR-91;UE;Tramitado;0
alojamientos;-1.975.247.608;33.418.091.864;375;412;Casa Juanita;Extrahotelera;Casa Rural;El Molino, 8;Puntallana; ;232002;3181581;3;CR-93;UE;Tramitado;0
alojamientos;-1977767.37;33.453.916.148;376;413;Casa Atilio;Extrahotelera;Casa Rural;Lomo Piñero, 23;Puntallana; ;229863;3184760;3;CR-102;UE;Tramitado;0
alojamientos;-19.756.236.364;33.441.941.459;377;414;Casa Lina;Extrahotelera;Casa Rural;Lomo Los Lirios, 14A;Puntallana;922430625;231720;3183671;4;CR-113;UE;Tramitado;0
alojamientos;-19.763.362.458;33.450.045.934;378;415;Casa Los Jazmínez;Extrahotelera;Casa Rural;Las Toscas;Puntallana; ;231111;3184393;8;CR-138;UCU;Tramitado;0
alojamientos;-19.736.628.195;33.419.580.265;379;416;Casa Pancho Molina;Extrahotelera;Casa Rural;Piedra Alta, Santa Lucía;Puntallana; ;233396;3181679;6;CR-142;UE;Tramitado;0
alojamientos;-19.765.749.268;33.467.081.817;380;417;Casa Ilia;Extrahotelera;Casa Rural;Bajamar de La Galga, 47;Puntallana; ;230936;3185885;6;CR-160;UE;Tramitado;0
alojamientos;-19.746.717.108;33.433.285.378;381;418;Casa Las Embelgas;Extrahotelera;Casa Rural;Las Embelgas, 5;Puntallana; ;232538;3182896;6;CR-171;UE;Tramitado;0
alojamientos;-19.781.809.538;33.455.354.383;382;419;Casa del Bisabuelo;Extrahotelera;Casa Rural;Llano Molino, 87;Puntallana; ;229503;3184894;2;CR-190;UE;Tramitado;0
alojamientos;-19.750.148.029;33.431.350.572;383;420;Casa El Taboco;Extrahotelera;Casa Rural;El Taboco;Puntallana; ;232233;3182734;2;CR-200;UE;Tramitado;0
alojamientos;-1.975.821.153;33.412.347.565;384;421;Casa Santa Lucía;Extrahotelera;Casa Rural;Calvario, 8;Puntallana; ;231487;3181091;5;CR-202;UE;Tramitado;0
alojamientos;-19.751.857.019;33.428.860.052;385;423;Casa Juana;Extrahotelera;Casa Rural;Los Loderos, 9;Puntallana; ;232078;3182520;5;CR-205;UE;Tramitado;0
alojamientos;-19.756.142.828;33.418.510.777;386;424;Casa Tomasa;Extrahotelera;Casa Rural;Los Molinos, 19;Puntallana; ;231681;3181625;3;CR-216;UE;Tramitado;0
alojamientos;-19.755.841.074;33.393.440.214;387;426;Casa Victoria;Extrahotelera;Vivienda turística;Ctra. Martín Luís, 32;Puntallana; ;231657;3179435;3;VT-37;UE;Tramitado;0
alojamientos;-19.784.782.784;33.503.943.024;388;427;Drago, El;Hotelera;Pensión;Ctra. General;San Andrés y Sauces;922450350;229341;3189141;26;H-38/5/0030-8;P/*;Tramitado;1
alojamientos;-19.771.495.282;33.501.205.896;389;428;Argeo;Hotelera;Pensión;San Sebastián, 4;San Andrés y Sauces; ;230501;3188875;7;H-38/5/0034;P/*;Tramitado;1
alojamientos;-19.771.383.219;33.500.303.255;390;429;Lonjas, Las;Hotelera;Pensión;San Sebastián, 16;San Andrés y Sauces;922450736;230509;3188796;8;H-38/5/0039;P/*;Tramitado;1
alojamientos;-19.788.250.037;33.491.257.182;391;430;Casa Los Nacientes;Extrahotelera;Casa Rural;Cmno. La Orotava, 24;San Andrés y Sauces; ;229011;3188041;6;CR-79;UCU;Tramitado;0
alojamientos;-19.775.643.055;33.513.932.169;392;431;Casa Manos de Oro;Extrahotelera;Casa Rural;Cmno. Manos de Oro, 71;San Andrés y Sauces;922451541;230163;3189994;2;CR-80;UE;Tramitado;0
alojamientos;-19.789.754.212;33.489.274.007;393;432;Casa El Rosado;Extrahotelera;Casa Rural;Cmno. San Pedro, 25;San Andrés y Sauces; ;228875;3187871;3;CR-89;UE;Tramitado;0
alojamientos;-19.786.934.614;33.511.673.526;394;433;Casa Villa Perestelo;Extrahotelera;Casa Rural;La Montañeta, 8;San Andrés y Sauces; ;229168;3189820;7;CR-107;UCU;Tramitado;0
alojamientos;-19.783.606.722;33.476.838.017;395;434;Casa Marcelina;Extrahotelera;Casa Rural;El Roque, 21;San Andrés y Sauces; ;229389;3186773;6;CR-181;UE;Tramitado;0
alojamientos;-19.776.766.817;33.352.519.301;396;435;Cubana, La;Hotelera;Pensión;O'Daly, 24;S/C de La Palma;922411354;229737;3175903;10;H-38/5/0002-4;P/*;Tramitado;1
alojamientos;-19.776.486.636;33.354.689.197;397;436;Canarias;Hotelera;Pensión;A. Cabrera Pinto, 27;S/C de La Palma;922413182;229766;3176092;23;H-38/5/0014-2;P/**;Tramitado;2
alojamientos;-19.769.973.364;3.335.915.624;398;437;Marítimo;Hotelera;Hotel;Avda. Marítima, 80;S/C de La Palma; ;230347;3176469;131;H-38/5/0020-2;H/***;Tramitado;3
alojamientos;-19.770.948.977;33.359.488.398;399;438;Avenida;Hotelera;Hotel;Castillete, 14-16;S/C de La Palma; ;230262;3176500;54;H-38/5/0025-4;H/***;Tramitado;3
alojamientos;-19.770.224.552;33.359.184.738;400;440;Castillete;Hotelera;Hotel;Avda. Marítima, 75;S/C de La Palma;922420840;230325;3176472;84;H-38/5/0032-0;H/***;Tramitado;3
alojamientos;-19.783.033.396;33.347.748.896;401;441;Galeón, El;Hotelera;Hotel;Ctra. El Galeón, 10;S/C de La Palma;922411000;229177;3175499;50;H-38/5/0044;H/***;Tramitado;3
alojamientos;-19.778.075.379;3.335.247.735;402;442;San Telmo;Hotelera;Hotel;San Telmo, 5;S/C de La Palma;922415385;229622;3175902;16;H-38/5/0046;H/**;Tramitado;2
alojamientos;-19.777.477.336;33.354.688.998;403;444;Casa San Sebastián;Extrahotelera;Casa Emblemática;San Sebastián, 28;S/C de La Palma; ;229679;3176094;9;E-38/5/0131; ;Tramitado;0
alojamientos;-19.798.481.009;33.366.193.953;404;445;Casa Molino Remanente;Extrahotelera;Casa Rural;Bco. Remanente;S/C de La Palma;922415636;227858;3177142;5;CR-52;UE;Tramitado;0
alojamientos;-19.790.873.602;33.362.262.795;405;446;Casa El Abuelo;Extrahotelera;Casa Rural;Las Tierritas, 22. Velhoco;S/C de La Palma; ;228518;3176783;3;CR-70;UE;Tramitado;0
alojamientos;-19.775.983.976;33.355.112.985;406;447;Casa Julián;Extrahotelera;Casa Rural;A. Cabrera Pinto, 15;S/C de La Palma;922415636;229811;3176128;3;E-38/5/0132;UCP;Tramitado;0
alojamientos;-19.777.545.483;33.352.707.184;407;448;Casa Santo Domingo;Extrahotelera;Casa Rural;Virgen de La Luz, 10;S/C de La Palma; ;229669;3175921;9;CR-176;UCP;Tramitado;0
alojamientos;-19.778.572.051;33.354.755.043;408;449;Casa El Tomadero;Extrahotelera;Casa Rural;San Sebastián, 60;S/C de La Palma; ;229583;3176102;2;CR-189;UE;Tramitado;0
alojamientos;-19.770.836.683;33.362.524.476;409;450;Rocamar;Extrahotelera;Apartamento;Abenguareme, 10;S/C de La Palma;922411946;230278;3176765;132;E-38/5/000400-7;A/2LL;Tramitado;2
alojamientos;-19.799.914.668;33.351.931.992;410;451;Chipi-Chipi;Extrahotelera;Apartamento;Los Álamos, 42. Velhoco;S/C de La Palma;922411024;227703;3175899;24;E-38/5/000800-2;A/1LL;Tramitado;1
alojamientos;-19.773.374.566;33.357.016.668;411;452;Fuente, La;Extrahotelera;Apartamento;Pérez de Brito, 49;S/C de La Palma;922415636;230044;3176289;27;E-38/5/002800-3;A/3LL;Tramitado;3
alojamientos;-19.778.448.678;33.355.330.245;412;453;Montecristo;Extrahotelera;Apartamento;Montecristo, 33;S/C de La Palma;922415636;229595;3176152;6;E-38/5/0113;A/1LL;Tramitado;1
alojamientos;-19.776.648.417;33.353.804.051;413;454;Viv. Tur.;Extrahotelera;Vivienda turística;Virgen de La Luz, 4;S/C de La Palma;922416669;229750;3176015;4;VT-4; ;Tramitado;0
alojamientos;-19.771.646.315;33.358.121.444;414;455;Santa Catalina;Extrahotelera;Vivienda turística;Santa Catalina, 16;S/C de La Palma; ;230198;3176382;3;VT-29; ;Tramitado;0
alojamientos;-19.772.276.093;33.357.282.621;415;456;Viv. Tur.;Extrahotelera;Vivienda turística;Baltasar Martín, 10;S/C de La Palma; ;230141;3176310;2;VT-46; ;Tramitado;0
alojamientos;-19.779.149.038;3.335.508.498;416;457;Viv. Tur.;Extrahotelera;Vivienda turística;Timibucar, 28;S/C de La Palma; ;229533;3176132;3;VT-47; ;Tramitado;0
alojamientos;-19.778.350.498;33.355.023.479;417;458;Viv. Tur.;Extrahotelera;Vivienda turística;Cajita Blanca, 5;S/C de La Palma; ;229603;3176125;5;VT-307; ;Tramitado;0
alojamientos;-19.965.098.572;33.303.436.308;418;461;Hcda. de Abajo;Hotelera;Hotel Emblemático;Miguel de Unamuno, 1;Tazacorte;922406000;213092;3172009;64;HE-38/5/0049;HE;Tramitado;0
alojamientos;-19.966.337.063;33.313.119.628;419;462;Casa Pedro;Extrahotelera;Casa Rural;La Punta;Tazacorte; ;213004;3172858;3;CR-182;UE;Tramitado;0
alojamientos;-19.963.802.896;33.300.253.369;420;463;Morrosol;Extrahotelera;Apartamento;Lomo Blanco, 2;Tazacorte;922480403;213199;3171728;12;E-38/5/000200-4;A/2LL;Tramitado;2
alojamientos;-19.942.156.804;33.272.678.271;421;464;Paradiso, El;Extrahotelera;Apartamento;Montaña Todoque;Tazacorte;922463836;215042;3169271;10;E-38/5/001200-0;A/1LL;Tramitado;1
alojamientos;-19.941.600.931;33.271.811.118;422;465;Son Vida;Extrahotelera;Apartamento;Montaña Todoque;Tazacorte;922463836;215089;3169194;18;E-38/5/001201-8;A/2LL;Tramitado;2
alojamientos;-19.963.925.983;33.299.701.166;423;466;Isa;Extrahotelera;Apartamento;Progreso, 10;Tazacorte;922480052;213187;3171680;30;E-38/5/001900-4;A/1LL;Tramitado;1
alojamientos;-19.978.037.188;33.313.985.528;424;467;Miramar;Extrahotelera;Apartamento;El Pozo;Tazacorte;922480589;211978;3172959;8;E-38/5/002000-2;A/1LL;Tramitado;1
alojamientos;-19.960.983.748;33.306.924.544;425;468;Cruz, La;Extrahotelera;Apartamento;Finca La Cruz, 16;Tazacorte;922406016;213461;3172305;3;E-38/5/004000-3;A/1LL;Tramitado;1
alojamientos;-19.961.693.347;33.299.161.352;426;469;Leyma;Extrahotelera;Apartamento;Avda. Felipe Lorenzo, 15;Tazacorte; ;213382;3171628;10;E-38/5/006700-9;A/1LL;Tramitado;1
alojamientos;-19.961.949.385;33.298.926.217;427;470;Casher;Extrahotelera;Apartamento;Avda. Felipe Lorenzo, 7;Tazacorte;922480588;213359;3171608;15;E-38/5/006800-5;A/1LL;Tramitado;1
alojamientos;-19.964.074.696;33.299.731.816;428;471;Isa II;Extrahotelera;Apartamento;Progreso, 8;Tazacorte;922480052;213174;3171683;48;E-38/5/0079;A/1LL;Tramitado;1
alojamientos;-19.977.939.296;33.314.171.029;429;472;Luz y Mar;Extrahotelera;Apartamento;Puerto de Tazacorte;Tazacorte;922480006;211987;3172975;45;E-38/5/009600-9;A/2LL;Tramitado;2
alojamientos;-19.962.057.903;33.299.175.237;430;473;Morrosol II;Extrahotelera;Apartamento;Avda. Felipe Lorenzo, 5;Tazacorte;922480523;213350;3171630;33;E-38/5/009800-1;A/1LL;Tramitado;1
alojamientos;-19.962.343.293;33.302.005.555;431;474;Atlantis;Extrahotelera;Apartamento;Mariano Benlliure, 14;Tazacorte;922406146;213331;3171878;67;E-38/5/0114;A/1LL;Tramitado;1
alojamientos;-19.976.174.347;33.313.219.347;432;475;Orión;Extrahotelera;Apartamento;Avda. Emigrantes;Tazacorte;922460048;212140;3172888;39;E-38/5/0115;A/1LL;Tramitado;1
alojamientos;-19.960.824.525;33.298.073.029;433;476;Florida;Extrahotelera;Apartamento;Avda. Felipe Lorenzo, 18;Tazacorte;922480305;213456;3171531;18;E-38/5/0116;A/1LL;Tramitado;1
alojamientos;-1.997.828.718;33.313.967.884;434;477;Kíkere, El;Extrahotelera;Apartamento;Explanada, 2;Tazacorte; ;211956;3172958;37;E-38/5/0130;A/2LL;Tramitado;2
alojamientos;-19.954.746.237;33.287.777.779;435;479;Viv. Tur.;Extrahotelera;Vivienda turística;La Marina;Tazacorte; ;213968;3170618;4; ; ;Tramitado;0
alojamientos;-19.960.923.083;33.303.974.162;436;480;Casa Tazacorte Grande;Extrahotelera;Vivienda turística;Barranquito;Tazacorte; ;213460;3172047;4; ; ;Tramitado;0
alojamientos;-19.935.763.871;33.258.205.455;437;481;Viv. Tur.;Extrahotelera;Vivienda turística;Las Norias, 14;Tazacorte; ;215573;3167992;3;VT-2; ;Tramitado;0
alojamientos;-19.935.425.271;3325737.88;438;482;Viv. Tur.;Extrahotelera;Vivienda turística;Las Norias, 13;Tazacorte; ;215601;3167919;6;VT-3; ;Tramitado;0
alojamientos;-19.933.629.183;33.256.507.711;439;483;Viv. Tur.;Extrahotelera;Vivienda turística;Las Norias, 29;Tazacorte; ;215757;3167839;6;VT-42; ;Tramitado;0
alojamientos;-19.939.493.575;3.326.421.051;440;484;Casa Eufemio;Extrahotelera;Vivienda turística;El Pampillo;Tazacorte; ;215258;3168525;4;VT-67; ;Tramitado;0
alojamientos;-19.948.741.356;33.294.034.539;441;485;Casa Maibücher;Extrahotelera;Vivienda turística;Los Serradores;Tazacorte; ;214509;3171152;6;VT-187; ;Tramitado;0
alojamientos;-19.940.314.331;33.263.332.563;442;486;Casa Julia;Extrahotelera;Vivienda turística;El Pampillo, 76;Tazacorte; ;215184;3168450;3;VT-213; ;Tramitado;0
alojamientos;-19.936.220.861;3.325.795.074;443;487;Casa Letecia;Extrahotelera;Vivienda turística;Urb. Las Norias;Tazacorte; ;215505;3137877;4;VT-235; ;Tramitado;0
alojamientos;-19.935.851.553;33.257.597.125;444;488;Residencia Las Norias;Extrahotelera;Vivienda turística;Las Norias, 1;Tazacorte; ;215564;3167939;2;VT-243; ;Tramitado;0
alojamientos;-19.936.908.258;33.258.005.903;445;489;Casa Violeta;Extrahotelera;Vivienda turística;Las Norias, 18;Tazacorte; ;215472;3167977;6;VT-245; ;Tramitado;0
alojamientos;-19.934.625.564;33.258.656.475;446;490;Casa Cora Ena;Extrahotelera;Vivienda turística;Las Norias, 7;Tazacorte; ;215674;3168029;4;VT-272; ;Tramitado;0
alojamientos;-19.967.234.962;3.334.515.032;447;492;Casa Emiliana;Extrahotelera;Casa Rural;La Punta;Tijarafe;922430625;212994;3175659;4;CR-24;UE;Tramitado;0
alojamientos;-19.968.107.914;33.377.521.208;448;493;Casa Serradero;Extrahotelera;Casa Rural;El Serradero;Tijarafe; ;212987;3178489;4;CR-30;UE;Tramitado;0
alojamientos;-19.992.158.506;3.340.465.148;449;494;Casa El Pinillo;Extrahotelera;Casa Rural;Aguatavar, 5B;Tijarafe;922490191;210934;3180911;6;CR-74;UE;Tramitado;0
alojamientos;-19.959.909.755;33.343.580.347;450;495;Casa Minerva;Extrahotelera;Casa Rural;Amagar, 53;Tijarafe; ;213634;3175506;3;CR-100;UE;Tramitado;0
alojamientos;-19.982.277.344;33.338.288.271;451;496;Casa Ebenezer y Maranatha;Extrahotelera;Casa Rural;Los Veroles, 19;Tijarafe;637375249;211658;3175092;6;CR-128;UE;Tramitado;0
alojamientos;-19.987.993.426;33.366.495.938;452;497;Casa La Capellana;Extrahotelera;Casa Rural;El Jesús, 26B;Tijarafe;922490619;211217;3177569;3;CR-130;UE;Tramitado;0
alojamientos;-19.981.381.426;33.373.139.399;453;498;Casa Tía Rosario;Extrahotelera;Casa Rural;El Jesús, 18;Tijarafe;922490388;211812;3178135;4;CR-134;UE;Tramitado;0
alojamientos;-19.977.168.705;33.361.591.483;454;499;Casa Arecida;Extrahotelera;Casa Rural;Arecida, 12B;Tijarafe;922490173;212157;3177117;3;CR-136;UE;Tramitado;0
alojamientos;-19.989.719.053;33.399.502.864;455;500;Casa El Manso;Extrahotelera;Casa Rural;Ctra. General, 59B;Tijarafe; ;211137;3180456;3;CR-147;UE;Tramitado;0
alojamientos;-19.997.022.002;33.398.656.396;456;501;Casa Tota;Extrahotelera;Casa Rural;Cmno. La Castellana, 15;Tijarafe; ;210494;3180398;4;CR-148;UE;Tramitado;0
